"SITE","DATE","OBSERVER","NOTES","start_hour","end_hour","year"
"Western Myles Standish SP","06/15/2017","Trevor Lloyd-Evans","1449 - 1635: 60% moon rises at 23:51 on 14th June. Wind : calm, Precipitation: 0, Temp: 40-43 F.  Cloud: 0, slight haze or mist low over ponds.  2 EWPW seen on Bare Hill Rd. – orange eye shine (not incl.)
N = NEAR < 100m I = INT 100 – 200m F = FAR > 200m No repeats.
Excellent conditions, continuous calling by EWPW and cold temps greatly reduced frog & toad calls. Great Horned Owl calling.
","14:49","16:35",2017
"Western Myles Standish SP","06/15/2017","Trevor Lloyd-Evans","1449 - 1635: 60% moon rises at 23:51 on 14th June. Wind : calm, Precipitation: 0, Temp: 40-43 F.  Cloud: 0, slight haze or mist low over ponds.  2 EWPW seen on Bare Hill Rd. – orange eye shine (not incl.)
N = NEAR < 100m I = INT 100 – 200m F = FAR > 200m No repeats.
Excellent conditions, continuous calling by EWPW and cold temps greatly reduced frog & toad calls. Great Horned Owl calling.
","14:49","16:35",2017
"Western Myles Standish SP","06/15/2017","Trevor Lloyd-Evans","1449 - 1635: 60% moon rises at 23:51 on 14th June. Wind : calm, Precipitation: 0, Temp: 40-43 F.  Cloud: 0, slight haze or mist low over ponds.  2 EWPW seen on Bare Hill Rd. – orange eye shine (not incl.)
N = NEAR < 100m I = INT 100 – 200m F = FAR > 200m No repeats.
Excellent conditions, continuous calling by EWPW and cold temps greatly reduced frog & toad calls. Great Horned Owl calling.
","14:49","16:35",2017
"Mast Road, Plymouth (Myles Standish)","06/12/2017","Trevor Lloyd-Evans","2258 - 0049: 95% Moon (waning) rises 22:37. Wind: calm, Precip: 0, Temp: 67 – 65 F., Cloud: 0.  Very hot day 91 F max.  No repeats.
Noise codes at Points 8 & 9 were constant background expressway traffic.
Barred Owl calling at Point 10. New housing development by AD Makepeace near Point 2.
N = NEAR < 100m I = INT 100 – 200m F = FAR > 200m
","22:58","0:49",2017
"Masachusetts Military Reservation (Camp Edwards 1)","05/16/2017","Jake McCumber, James Battin","2030 - 2243: Clear and calm, noise none to slight.  Pt 1: Peepers and highway noise. Pt 3: Highway noise.  Pts 7, 8, 10, 12: amphibians very loud.  Pt 2: Chuck-wills-willow (CWWI) heard. Pt 6: Northern saw-whet owl (NSWO) heard. Pt 7: Eastern screech owl (EASO) heard","20:30","22:43",2017
"Masachusetts Military Reservation (Camp Edwards 1)","05/16/2017","Jake McCumber, James Battin","2030 - 2243: Clear and calm, noise none to slight.  Pt 1: Peepers and highway noise. Pt 3: Highway noise.  Pts 7, 8, 10, 12: amphibians very loud.  Pt 2: Chuck-wills-willow (CWWI) heard. Pt 6: Northern saw-whet owl (NSWO) heard. Pt 7: Eastern screech owl (EASO) heard","20:30","22:43",2017
"Masachusetts Military Reservation (Camp Edwards 1)","05/16/2017","Jake McCumber, James Battin","2030 - 2243: Clear and calm, noise none to slight.  Pt 1: Peepers and highway noise. Pt 3: Highway noise.  Pts 7, 8, 10, 12: amphibians very loud.  Pt 2: Chuck-wills-willow (CWWI) heard. Pt 6: Northern saw-whet owl (NSWO) heard. Pt 7: Eastern screech owl (EASO) heard","20:30","22:43",2017
"Masachusetts Military Reservation (Camp Edwards 1)","05/16/2017","Jake McCumber, James Battin","2030 - 2243: Clear and calm, noise none to slight.  Pt 1: Peepers and highway noise. Pt 3: Highway noise.  Pts 7, 8, 10, 12: amphibians very loud.  Pt 2: Chuck-wills-willow (CWWI) heard. Pt 6: Northern saw-whet owl (NSWO) heard. Pt 7: Eastern screech owl (EASO) heard","20:30","22:43",2017
"Masachusetts Military Reservation (Camp Edwards 2)","05/16/2017","Annie Curtis, Peter Trimble","2033 - 2239: Clear and calm; none to slight noise. Pts 2, 3, 4 : peepers, toads, etc. calling. Pts 5-10: Plane, car and road noise.  Pt 1: Eastern towhee (EATO), Hermit thrush (HETH) heard calling. Pt 2: HETH heard calling. Pt 3: NOSO heard calling. Pt 10:  OVEN heard calling. ","20:33","22:39",2017
"Masachusetts Military Reservation (Camp Edwards 2)","05/16/2017","Annie Curtis, Peter Trimble","2033 - 2239: Clear and calm; none to slight noise. Pts 2, 3, 4 : peepers, toads, etc. calling. Pts 5-10: Plane, car and road noise.  Pt 1: Eastern towhee (EATO), Hermit thrush (HETH) heard calling. Pt 2: HETH heard calling. Pt 3: NOSO heard calling. Pt 10:  OVEN heard calling. ","20:33","22:39",2017
"Masachusetts Military Reservation (Camp Edwards 2)","05/16/2017","Annie Curtis, Peter Trimble","2033 - 2239: Clear and calm; none to slight noise. Pts 2, 3, 4 : peepers, toads, etc. calling. Pts 5-10: Plane, car and road noise.  Pt 1: Eastern towhee (EATO), Hermit thrush (HETH) heard calling. Pt 2: HETH heard calling. Pt 3: NOSO heard calling. Pt 10:  OVEN heard calling. ","20:33","22:39",2017
"Masachusetts Military Reservation (Camp Edwards 3)","05/16/2017","Matt Penella, Mike Ciaranca","2030 - 2251: Clear and calm; noise none to slight. Pt 1: TONS of EWPW before start time. Pt 2: several coyotes howling to SW (far but loud). Pts 3 & 4: amphibians calling.","20:30","22:51",2017
"Masachusetts Military Reservation (Camp Edwards 3)","05/16/2017","Matt Penella, Mike Ciaranca","2030 - 2251: Clear and calm; noise none to slight. Pt 1: TONS of EWPW before start time. Pt 2: several coyotes howling to SW (far but loud). Pts 3 & 4: amphibians calling.","20:30","22:51",2017
"Masachusetts Military Reservation (Camp Edwards 3)","05/16/2017","Matt Penella, Mike Ciaranca","2030 - 2251: Clear and calm; noise none to slight. Pt 1: TONS of EWPW before start time. Pt 2: several coyotes howling to SW (far but loud). Pts 3 & 4: amphibians calling.","20:30","22:51",2017
"Masachusetts Military Reservation (Camp Edwards 3)","05/16/2017","Matt Penella, Mike Ciaranca","2030 - 2251: Clear and calm; noise none to slight. Pt 1: TONS of EWPW before start time. Pt 2: several coyotes howling to SW (far but loud). Pts 3 & 4: amphibians calling.","20:30","22:51",2017
"Masachusetts Military Reservation (Camp Edwards 3)","05/16/2017","Matt Penella, Mike Ciaranca","2030 - 2251: Clear and calm; noise none to slight. Pt 1: TONS of EWPW before start time. Pt 2: several coyotes howling to SW (far but loud). Pts 3 & 4: amphibians calling.","20:30","22:51",2017
"Camp Curtis Guild","05/16/2017","N. Scott Parkhill, Ashlin Treadway","2044 - 2148: Clear and calm. Pt 1, 4: Barred owl (BADO) heard. Pt 3: catbirds and barred owl heard calling.","20:44","21:48",2017
"Orchard Street Area, Byfield","06/07/2017","Lynette Leka","2118 - 2331: Clear and calm; Noise running slight, medium to excessive during survey.  Point 2 = loud frogs. Point 5 =loud frogs, dog barking, highway noise. Points 9 & 10 - from the direction and distance, I think these must have been the same 2 birds. Also note, Ash St was closed (flooding), so I had to make an 8 mile detour to get to all of the sites in the area.","21:18","23:31",2017
"Douglas State Forest","06/09/2017","Kim Justham","2112 - ? : Clear with slight wind; slight to excessive noise during survey. Points 5, 6 = Gypsy moth ""rain"". Point 2 = 2-3 barred owls heard calling. ","21:12",NA,2017
"Oxbow NWR (The Desert)",NA,"Laura Mattei, Eileen McGourty","NO BIRDS HEARD DURING SURVEY",NA,NA,2017
"Parker River NWR","06/11/2017","Katlyn Hojnecki","2224 - 2327: Sky clear, wind slight to moderate; noise none to slight.  Additionally heard 6 WPWI indiviudals calling;  Extra WPWI heard at: (1) S of BB2, (2) E of northern shrub island at clam flats, (3) BF shrubs, (4) Seahaven, (5) Hellcat west, (6) Bend in river, Lot 2.","22:24","23:27",2017
"Parker River NWR","06/11/2017","Katlyn Hojnecki","2224 - 2327: Sky clear, wind slight to moderate; noise none to slight.  Additionally heard 6 WPWI indiviudals calling;  Extra WPWI heard at: (1) S of BB2, (2) E of northern shrub island at clam flats, (3) BF shrubs, (4) Seahaven, (5) Hellcat west, (6) Bend in river, Lot 2.","22:24","23:27",2017
"Nantucket SE - South Pastures","05/17/2017","Danielle O'Dell (NCF)","0305 - 0410: NO BIRDS HEARD DURING SURVEY. American woodcock heard at Points 3 & 4. GRCA, EATO calling at Points 1-4. Noise at Pts 1-4 from ocean. Construction at airport, noise excessive.  NEW ROUTE - Ist run 2017.","3:05","4:10",2017
"Nantucket SW","05/16/2017","Karen Beatie (NCF)","0104 - 0238: NO BIRDS HEARD DURING SURVEY. 56 degrees F; sky to W clear but clouds covering moonrise at start. Spring peepers heard at Pts 1, 2, 3, 6.  Woodcock heard between Pts 1 & 2, 2 & 3,  3 & 4 and 4 & 5. Barn owl heard at Pt 5. Nightjars heard on eastern end of survey.","1:04","2:38",2017
"Nantucket Middle Moors","05/17/2017","Libby Buck, Emily Goldstein, Skylar Kardell, Ginger Andrew","0255 - 0448: Slight wind, mostly clear, none to slight noise. Pt 1: Woodcock heard calling. Pt 2: Virginia rail, spring peepers. Pt 3: Virginia rail, woodcock, spring peepers. Pt 4: Virginia rail, spring peepers. Pt 5: Many towhees. Pt 6 - 10: Many song birds (towhee, catbird, common yellowthroat). Pt 7: Barn owl. At parking lot for Sesachacha Pond we heard 2 CWWI and 2 WPWI (this was not a survey point).","2:55","4:48",2017
"Birch Hill Dam",NA,"Zach Koziol","NO BIRDS HEARD DURING SURVEY",NA,NA,2017
"Wendell (Tornado Site)","06/11/2017","Marianne Piche","2216 - 2425: NO BIRDS HEARD DURING SURVEY","22:16","24:25",2017
"Manuel Correlus State Forest (MV)","05/23/2018","Mary Spencer & Bill Glazier","Start: 2030, End: 0130. Wind = none to moderate. Sky = clear to m cloudy. Noise = none to medium.",NA,NA,2018
"Manuel Correlus State Forest (MV)","06/21/2018","Pam & Rob Davey","Start: 2130, End: 2215. Wind = slight. Sky = m cloudy. Noise = none to medium. Survey attempt #1 - aborted due to fog. We arrived at Pt 1 at 8.45pm. The sky was perfectly clear and the moon was bright. We heard a EWPW calling in the distance toward the south. By 9.30pm when it was dark enough to begin the survey, the fog began rolling in. By Pt 2, the fog was so thick the moon was barely visible, so we aborted the survey.",NA,NA,2018
"Manuel Correlus State Forest (MV)","06/25/2018","Pam & Rob Davey","Start: 2100, End: 2415. Wind = none. Sky = clear to m clear.  Noise = slight to medium. Survey #2 - Pts 1 & 2: constant noise/airplanes.  Pt 5: constant traffic noise. At gate entering 2nd section of state forest heard EWPW to SW close.  Pt 6: heard a great horned owl.  Pt 10: constanct surf noise. ",NA,NA,2018
"Nashua River Floodplain: Route #1","05/29/2018","Dick & Peg Knowlton","Start: 2150, End: 0230. Wind = none to slight. Sky = clear.  Noise = slight to excessive. Pt 9: Barred owl (very close). Pt 10: Barred owl (very close). Pt 6: American woodcock displaying in spite of traffic and a soccer game. Both routes were combined and hop-scotched between stops, not necessarily going in order. ",NA,NA,2018
"Nashua River Floodplain: Route #1","05/29/2018","Dick & Peg Knowlton","Start: 2150, End: 0230. Wind = none to slight. Sky = clear.  Noise = slight to excessive. Pt 9: Barred owl (very close). Pt 10: Barred owl (very close). Pt 6: American woodcock displaying in spite of traffic and a soccer game. Both routes were combined and hop-scotched between stops, not necessarily going in order. ",NA,NA,2018
"Nashua River Floodplain: Route #1","05/29/2018","Dick & Peg Knowlton","Start: 2150, End: 0230. Wind = none to slight. Sky = clear.  Noise = slight to excessive. Pt 9: Barred owl (very close). Pt 10: Barred owl (very close). Pt 6: American woodcock displaying in spite of traffic and a soccer game. Both routes were combined and hop-scotched between stops, not necessarily going in order. ",NA,NA,2018
"Nashua River Floodplain: Route #2","05/29/2018","Dick & Peg Knowlton","Start: 2150, End: 0230. Wind = none. Sky = clear.  Noise = slight to excessive.  Pt 10: 2 American woodcock. Both routes were combined and hop-scotched between stops, not necessarily going in order. ",NA,NA,2018
"Quabbin - Prescott","05/28/2018","Larry Therrien","Start: 2030, End: 2217. Wind = none to slight. Sky = clear to m clear.  Noise = none to medium. Between Pts 1 & 2: 4 EWPW  heard. Between Pts 2 & 3: 1 EWPW heard.  Between Pts 3 & 4: 1 EWPW heard.  Between Pts 4 & 5: 2 EWPW heard. Pt 3 = Common nighthawk (unexpected). Pt 6: Northern saw-whet owl.",NA,NA,2018
"Quabbin - Prescott","05/28/2018","Larry Therrien","Start: 2030, End: 2217. Wind = none to slight. Sky = clear to m clear.  Noise = none to medium. Between Pts 1 & 2: 4 EWPW  heard. Between Pts 2 & 3: 1 EWPW heard.  Between Pts 3 & 4: 1 EWPW heard.  Between Pts 4 & 5: 2 EWPW heard. Pt 3 = Common nighthawk (unexpected). Pt 6: Northern saw-whet owl.",NA,NA,2018
"Quabbin - Prescott","05/28/2018","Larry Therrien","Start: 2030, End: 2217. Wind = none to slight. Sky = clear to m clear.  Noise = none to medium. Between Pts 1 & 2: 4 EWPW  heard. Between Pts 2 & 3: 1 EWPW heard.  Between Pts 3 & 4: 1 EWPW heard.  Between Pts 4 & 5: 2 EWPW heard. Pt 3 = Common nighthawk (unexpected). Pt 6: Northern saw-whet owl.",NA,NA,2018
"Quabbin - South Quabbin (Quabbin Park)","05/23/2018","Larry Therrien","Start: 2031, End: 2221. Wind = none to moderate.  Sky = clear.  Noise = none to slight. Between Pts 1 & 2: 4 EWPW  heard.  Between Pts 2 & 3: 3 EWPW heard.  Between Pts 3 & 4: 3 EWPW heard.  Between Pts 4 & 5: 2 EWPW heard. ",NA,NA,2018
"Quabbin - South Quabbin (Quabbin Park)","05/23/2018","Larry Therrien","Start: 2031, End: 2221. Wind = none to moderate.  Sky = clear.  Noise = none to slight. Between Pts 1 & 2: 4 EWPW  heard.  Between Pts 2 & 3: 3 EWPW heard.  Between Pts 3 & 4: 3 EWPW heard.  Between Pts 4 & 5: 2 EWPW heard. ",NA,NA,2018
"Old Sandwich Road, Plymouth (Pine Hills)","05/24/2018","Stew Sanders, Ken Donovan","Start: 2000, End: 2255. Wind = slight to moderate.  Sky = clear.  Noise = none to slight. Between Pts 3 & 4: 2 EWPW called (W, medium and SW, far).  At 4.10am - 1 EWPW heard calling briefly NE of PT 7 (medium) near my house. ",NA,NA,2018
"Western Myles Standish SP","05/30/2018","Trevor Lloyd-Evans","Start: 2216, End: 0005. Wind = none.  Sky = clear.  Noise = none to medium.  2 EWPW observed on Bare Hill Road (saw orange eye shine in road - not included in survey data). Pine warbler and Ovenbird heard calling; also heard Fowler's toads, bullfrogs and gray treefrogs calling.",NA,NA,2018
"Western Myles Standish SP","05/30/2018","Trevor Lloyd-Evans","Start: 2216, End: 0005. Wind = none.  Sky = clear.  Noise = none to medium.  2 EWPW observed on Bare Hill Road (saw orange eye shine in road - not included in survey data). Pine warbler and Ovenbird heard calling; also heard Fowler's toads, bullfrogs and gray treefrogs calling.",NA,NA,2018
"Western Myles Standish SP","05/30/2018","Trevor Lloyd-Evans","Start: 2216, End: 0005. Wind = none.  Sky = clear.  Noise = none to medium.  2 EWPW observed on Bare Hill Road (saw orange eye shine in road - not included in survey data). Pine warbler and Ovenbird heard calling; also heard Fowler's toads, bullfrogs and gray treefrogs calling.",NA,NA,2018
"Mast Road, Plymouth (Myles Standish)","06/21/2018","Trevor Lloyd-Evans","Start: 2105, End: 2303. Wind = none to slight.  Sky = clear to m clear.  Noise = none to medium.  Pts 7, 8 & 10 - noise was constant background from expressway traffic.  Pt 10: Gray fox observed. Pt 2: New housing development by AD Makepeace near point is expanding each year. ",NA,NA,2018
"Nantucket SE - South Pastures","05/23/2018","Danielle O'Dell (NCF)","Start: 2045, End: 2155. Wind = slight.  Sky = clear to m clear.  Noise = slight.  Noise included ocean waves, distant fog horn and occaisional car and airplane. Pt 3: American woodcock heard calling. ",NA,NA,2018
"Nantucket SW","05/23/2018","Neil Foley","Start: 2030, End: 2217. Wind = slight.  Sky = clear to m clear.  Noise = none to medium. Pt 1: American woodcock calling. Pt 2:  American woodcock calling.",NA,NA,2018
"Nantucket Middle Moors","05/23/2018","Libby Buck, Skylar Kardell, Julia Blyth","Start: 2030, End: 2303. Wind = none to moderate.   Sky = clear to cloudy.  Noise = none to medium. Pt 1: American woodcock calling.  Pt 2: 2 Chuck-will's-widow. Pt 3: American woodcock calling.  Pt 7: American woodcock calling.  Pt 9: American woodcock calling.",NA,NA,2018
"Montague Plains","05/28/2018","Dave Fuller","Start: 2030, End: 2245. Wind = none to slight. Sky = clear to m clear. Noise = none to medium. ",NA,NA,2018
"Mt. Tekoa","05/29/2018","Alex Krofta","Start: 2108, End: 2339. Wind = none to slight. Sky = clear. Noise = none to excessive.  Pt 5: Should be surveyed later in night due to constant car traffic. Pt 4: Rte 20 is loud across river, tho no cars are passing at this point. Treefrogs are loud. Pt 10: EWPW heard calling (SW, far) just following end time of survey point (6 mins 10 secs). Between Pts 4 & 5: EWPW calling N of one lane bridge in Woronoco.",NA,NA,2018
"Mt. Tekoa","06/28/2018","Alex Krofta","Start: 2155, End: 2430. Wind = none to slight. Sky = clear to cloudy. Noise = none to medium. Pt 1: Barred owl heard. Pt 6: Heavy fog, loud frogs.  1 EWPW possibly heard, calling (NE, far) after 6 minutes. Pt 7: Stream is loud.",NA,NA,2018
"Tully Lake","06/05/2018","Alex Krofta","Start: 0300, End: 0500. Wind = none to slight. Sky = cloudy. Noise = none to slight. Pt 4: 2 Barred owls heard (far W and intermediate W) Pt 7: American woodcock heard calling (near, N).  Pt 10: Barred owl (far NW).",NA,NA,2018
"Tully Lake","06/29/2018","Alex Krofta","Start: 2315, End: 0100. Wind = none to moderate. Sky = clear to m cloudy. Noise = none to slight. Pt 4: Coyotes heard calling (E, intermdeiate). Pt 5: Barred owl heard (W, far). Pt 7: Barred owl (S, far) ",NA,NA,2018
"Mashpee / Falmouth","05/30/2018","John Garofoli","Start: 2119, End: 2411. Wind = none. Sky = clear to m clear. Noise = slight to medium. Pt 2: Common nighthawk heard. (SE, far). Pt 5: Common nighthawk heard. (W, far).",NA,NA,2018
"Devens, South Post","06/26/2018","Josh Gahagan","Start: 2045, End: 2230. Wind = none to slight.  Sky = clear. Noise = none to medium.  Before Pt 1: 1 EWPW observed close to road (Attu Rd). Pt 1: Great horned owl heard calling. Pt 3: 1 EWPW observed in road after survey listening period. ",NA,NA,2018
"Squannacook","05/30/2018","Josh Gahagan","Start: 0325, End: 0506. Wind = none to slight.  Sky = clear. Noise = none to medium.  **Survey completed, no birds observed - survey may have been completed out of order; location deescriptions do not seem to match with point locations.",NA,NA,2018
"West Vineyard","06/25/2018","Matt Pelikan","Start: 2114, End: 2300. Wind = none to moderate. Sky = clear. Noise = slight. Pt 1: 2 screech owls heard calling as observer arrived. Also 1 screech owl heard calling during survey.",NA,NA,2018
"Quabbin Reservoir","05/29/2018","Chris Buelow, Ben Mazzei, Chris Connors","Start: 2100, End: 0100. Results of a survey conducted on the Quabbin Reservoir by boat. **THIS WAS NOT A STANDARDIZED SURVEY ROUTE**",NA,NA,2018
"Manuel Correllus State Forest (MV)","05/23/2019","Pam & Rob Davey","Start: 0002, End: 0242. WIND = None to moderate. SKY = Clear. NOISE = None to medium. CARS = 0 to 5 cars (Pt 2). Moonrise 11.48pm.",NA,NA,2019
"Nashua River Floodplain: Route #1","06/17/2019","Dick & Peg Knowlton","Start: 2145, End: 0135. WIND = None to slight. SKY = Clear to mostly cloudy. NOISE = Slight to excessive. CARS = 0 to 6 cars (Pt 4). Noise issues at Points 8-10 (frogs and planes). ",NA,NA,2019
"Nashua River Floodplain: Route #2","06/23/2019","Dick & Peg Knowlton","Start: 0005, End: 0250. WIND = None to slight. SKY = Mostly clear to mostly cloudy. NOISE = None to excessive. CARS = 0 to 2 cars (Pt 4). Point 10 surveyed on 6/18 at 0120. Frog noise extreme at Points 1 & 2. Very long freight train heard Points 4 & 5.",NA,NA,2019
"Desert (Assabet River NWR)","05/16/2019","Laura Mattei, Craig Smith, Karin Paquin, Kevin Paquin","Start: 2100, End: 2230. WIND = None to slight. SKY = Clear to mostly clear. NOISE = None to excessive. CARS = 0 to 3 cars (Pt 1). Pt 1 & 2 - Spring peepers, Pt 2 - Barred owl, Pt 4 - Spring peepers.",NA,NA,2019
"Desert (Assabet River NWR)","05/18/2019","Laura Mattei, Craig Smith, Karin Paquin, Kevin Paquin","Start: 2110, End: 2235. WIND = None. SKY = Mostly clear to mostly cloudy. NOISE = Slight to medium. CARS = 0 to 1 cars (Pts 8 & 9). Pt 4 - Tree frogs calling; Pt 5 - Tree frogs and barred owl heard calling; Pt 6 - Wood, bull and green frogs heard calling. Pt 7 - Crickets and faint frogs heard calling. Pt 8 & 10 - small aircraft noise. Pt 8 - Fireflies!",NA,NA,2019
"Desert (Assabet River NWR)","06/17/2019","Laura Mattei, Craig Smith","Start: 2145, End: 2230. WIND = None to slight. SKY = Clear to mostly clear. NOISE = Slight to medium. CARS = 0 to 1 cars (Pt 9). NO WPWI heard calling.",NA,NA,2019
"Quabbin - South Quabbin (Quabbin Park)","05/16/2019","Larry Therrien","Start: 2018, End: 2213. WIND = None. SKY = Clear. NOISE = None to slight. CARS = 0 to 2 cars (Pt 8). ",NA,NA,2019
"Old Sandwich Road, Plymouth (Pine Hills)","05/16/2019","Stew Sanders, Frank Morency","Start: 2120, End: 2355. WIND = None to slight. SKY = Clear to mostly clear. NOISE = None to medium. CARS = 0 to 2 cars (Pts 4, 8 & 10). Beginning at Point 6 we started seeing a few small moths. An extensive stand of dead, standing Norway red pines remains SE of Pt 8; one bird called from between power line and that area.",NA,NA,2019
"Western Myles Standish SP","05/25/2019","Trevor Lloyd-Evans","Start: 0254, End: 0446. WIND = None. SKY = Clear. NOISE = None to slight. CARS = 0 to 1 car (Pts 3 & 5). Moon >1/2 waning. Temp = 35-40 degrees F (mist on ponds, cold air). Noise at Pts 3 & 7 (cranberry bog generators spraying). 1 WPWI observed on road between Pts 7 & 8. Other species also heard: Canada goose, ovenbird, spring peepers, and bullfrogs. ",NA,NA,2019
"Western Myles Standish SP","05/25/2019","Trevor Lloyd-Evans","Start: 0254, End: 0446. WIND = None. SKY = Clear. NOISE = None to slight. CARS = 0 to 1 car (Pts 3 & 5). Moon >1/2 waning. Temp = 35-40 degrees F (mist on ponds, cold air). Noise at Pts 3 & 7 (cranberry bog generators spraying). 1 WPWI observed on road between Pts 7 & 8. Other species also heard: Canada goose, ovenbird, spring peepers, and bullfrogs. ",NA,NA,2019
"Mast Road, Plymouth (Myles Standish)","05/27/2019","Trevor Lloyd-Evans","Start: 0207, End: 0406. WIND = None to slight. SKY = Mostly clear. NOISE = None to slight. CARS = 0 to 1 car (Pt 2). Moon 50% waning. Wind NW 1mph (calm), Cloud 40% patchy. Temperature 57-62 degrees F. Noise from traffic at Pts 7 & 8 (Rte 3). 1 WPWI on road between Pts 4 & 5. Great horned owl heard calling at Pt 4. Other species heard calling = Spring peepers, Fowler's toads, green frogs, ovenbird and gray catbird. ",NA,NA,2019
"Nantucket SE (South Pastures)","05/16/2019","Danielle O'Dell (NCF)","Start: 2050, End: 2205. WIND = None to slight. SKY = Mostly cloudy. NOISE = Slight to medium. CARS = 0 to 1 car (Pt 1). Pt 1 & 2 -Noise from the ocean, and American woodcock heard calling Pt 1; Pt 3 -Noise from ocean and lots of peepers; Pt 4 - Noise from ocean and airport, Barn owl and killdeer heard calling.",NA,NA,2019
"Nantucket SW (West End Nantucket)","05/16/2019","Libby Buck, Neil Foley","Start: 2337, End: 1308. WIND = Slight. SKY = Clear. NOISE = None to slight. CARS = 0 to 3 cars (Pt 6). American woodcock, Total of 11 heard at Pts 1 - 6. Willet and a mallard heard at Pt 4.",NA,NA,2019
"Nantucket Middle Moors (East Nantucket)","05/16/2019","Libby Buck, Neil Foley","Start: 0851, End: 2317. WIND = None. SKY = Clear to mostly cloudy. NOISE = None. CARS = 0 to 3 cars (Pt 10). Additional Obs: Chuck-wills-widow - 3 Total; 1 heard at Pt 3 and 2 heard at Pt 4. American woodcock - 10 Total; 1 at Pt 1, 5 at Pt 6, 2 at Pt 7, 1 at Pt 8 and 1 at Pt 9. Common Nighthawk heard calling and observed in flight at Pt 5. 2 unknown rails heard at Pt 2. ",NA,NA,2019
"Montague Plains","05/16/2019","Dave Fuller","Start: 2000, End: xxxx. WIND = None to slight. SKY = Clear to mostly clear. NOISE = None to excessive. CARS = 0 to 8 cars (Pt 1). Noise included train and peepers.  ",NA,NA,2019
"Mt. Tekoa","05/18/2019","Alex Krofta","Start: 2000, End: 0200. WIND = None to strong. SKY = Mostly clear. NOISE = Slight to excessive. CARS = 0 to 5 cars (Pt 5). Noise included a train (Pt 4).  ",NA,NA,2019
"Mashpee / Falmouth","06/14/2019","John Garofoli","Start: 2127, End: 2345. WIND = Slight to moderate. SKY = Clear. NOISE = Slight to medium. CARS = 0 to 45 cars (Pt 1). ",NA,NA,2019
"Devens, South Post","06/11/2019","Josh Gahagan","Start: 2041, End: 2213. WIND = None to SLIGHT. SKY = Clear. NOISE = Slight to medium. CARS = 0. WPWI singing before Pt 1 (very close). Barred owl heard north of Pt 5. WPWI heard between Pts 4 & 5. Great-horned Owl heard at Pt 6; also 2 WPWI were hard to detect due to closer bird vocalizing. Only heard them when closest bird paused. ",NA,NA,2019
"Squannacook","06/24/2019","Josh Gahagan","Start: 0305, End: 0440. WIND = None to slight. SKY = Clear. NOISE = None to medium. CARS = 0 to 7 cars (Pt 9). 2 WPWI were heard at NE District parking lot at 2.50am.",NA,NA,2019
"West Vineyard","05/18/2019","Matt Pelikan","Start: 2040, End: 2215. WIND = None to slight. SKY = Clear. NOISE = None to slight. CARS = 0 to 6 cars (Pt 10). Clear but high thin clouds or haze. Temperature: 64 degrees F at start; 58 degrees F at end. 1 screech owl heard at Pt 4.",NA,NA,2019
"Orchard Street Area, Byfield","05/18/2019","Lynette Leka","Start: 0855, End: xxxx. WIND = None. SKY = Clear to mostly cloudy. NOISE = Slight to medium. CARS = 0 to 9 cars (Pt 6). By the time observer reached Pt 8, the sky was completely clouded over and dark. She hoped to finish the survey within a few nights but the weather was never good. She was disappointed to miss Pt 9, which is the only stop she has been hearing WPWI.",NA,NA,2019
"Orchard Street Area, Byfield","06/12/2019","Lynette Leka","Start: 0920, End: 1115. WIND = None to slight. SKY = Clear. NOISE = Slight to medium. CARS = 0 to 6 cars (Pt 6). Pt 2: Heard gypsy moths chewing. Pt 5: Frogs / toads loud. Pt 8: Fireflies at site!",NA,NA,2019
"Desert (Assabet River NWR) #1","06/04/2020","Laura Mattei,  Deven Moroney & Karin Paquin","2055 -2220: Wind = none to slight; Sky =  slight to moderate; Noise = none to strong; cars = none to strong. Moon was visible the entire time during the survey. Tree frogs and bull frogs heard.","20:55","22:20",2020
"Quabbin - South Quabbin (Quabbin Park)","06/05/2020","Larry Therrien","2037 -  2225: Wind = none to moderate; Sky = slight to moderate; Noise = none to slight; Cars = none to slight. Additional EWPWs heard at following locations: 2 birds between Pts 1 & 2, 2 birds between 2 & 3, 3 birds between Pts 4 & 5. ","20:37","22:25",2020
"Prescott","05/30/2020","Larry Therrien","2033 - 2227: Wind = none to strong; Sky = none to moderate; Noise = none; cars = none. Additional EWPW were heard at following locations: 3 birds between Pts 3 & 4; 1 bird between Pts 4 & 5. ","20:33","22:27",2020
"Old Sandwich Road, Plymouth (Pine Hills)","06/04/2020","Stew Sanders, Frank Morency","2103 - 2340: Wind = none to moderate; Sky = slight to strong; Noise = slight to moderate; Cars = none to moderate. The forest cover at Pts. 3-5 is higher and more complete than several years ago. Approx. 1/3 from Pts. 4 to 5, we heard coyotes. 1 WPWI called approx. half way between Pts. 4 and 5 at 10:10 p.m. Most of the sounds were as follows: Pts. 2 & 5: frogs and toads; Pts. 3 & 10: wind in trees. 
On 4/9/2020 -- great horned owls nested on pole between Pts. 4 and 5; in May, 1 young in nest. 
On 6/2/2020 -- 9 p.m. 1 WPWI called about 1/3 mi from Pt. 7 and flew and called near Pt. 7
","21:03","23:40",2020
