"SITE","DATE","STOP.#","X","Y","EWPW.(#)","OBSERVER","NOTES","start_hour","end_hour","start_year"
"Western Myles Standish SP","05/28/2013","8",-70.6939,41.8821,1,"Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","9",-70.6859,41.8954,0,"Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","9",-70.6859,41.8954,0,"Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","9",-70.6859,41.8954,0,"Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","9",-70.6859,41.8954,0,"Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Blue Hills","07/03/2015","1",-71.04999,42.23973,2,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","2",-71.03315,42.24182,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","3",-71.04651,42.22833,1,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","4",-71.06241,42.22257,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","5",-71.06722,42.20905,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","6",-71.08936,42.23571,1,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","7",-71.09369,42.24311,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","8",-71.08029,42.2183,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","9",-71.09694,42.20958,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Blue Hills","07/03/2015","10",-71.11045,42.20664,0,"James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Brimfield Tornado Route West","06/24/2015","1",-72.2063,42.1093,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","2",-72.2266,42.114,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","3",-72.2502,42.108,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","4",-72.2663,42.1038,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","5",-72.2838,42.1031,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","6",-72.3021,42.1002,1,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","7",-72.3226,42.0979,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","8",-72.3405,42.0971,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","9",-72.3589,42.1042,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Brimfield Tornado Route West","06/24/2015","10",-72.3765,42.1098,0,"Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Drake & Sodom Mountains, Southwick","06/13/2015","1",-72.8288,42.0761,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","2",-72.8469,42.0708,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","3",-72.8432,42.0563,1,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","4",-72.8577,42.0831,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","5",-72.8535,42.0971,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","6",NA,NA,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","7",NA,NA,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","8",NA,NA,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","9",-72.8474,42.1111,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","10",-72.8307,42.1194,0,"Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Freetown State Forest","06/03/2015","1",-71.0902,41.7225,0,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","2",-71.0877,41.7376,0,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","3",-71.0749,41.7486,0,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","4",-71.0705,41.7626,0,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","5",-71.0897,41.7607,3,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","6",-71.0564,41.7524,2,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","7",-71.0494,41.7383,1,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","8",-71.0459,41.7239,0,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","9",-71.052,41.7102,3,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Freetown State Forest","06/03/2015","10",-71.0681,41.7182,1,"Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Manuel Correlus State Forest","06/03/2015","1",-70.651,41.406,0,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","2",-70.6471,41.3914,0,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","3",-70.6307,41.4019,0,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","4",-70.6211,41.3888,1,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","5",-70.6131,41.4032,1,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","6",-70.5906,41.3914,3,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","7",-70.5877,41.405,2,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","8",-70.5732,41.3964,1,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","9",-70.6327,41.3733,3,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Manuel Correlus State Forest","06/03/2015","10",-70.6352,41.3581,1,"Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Masachusetts Military Reservation","06/06/2014","1",-70.5599,41.678,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","1",-70.5599,41.678,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","1",-70.5599,41.678,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","1",-70.5599,41.678,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","1",-70.5599,41.678,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","2",-70.5604,41.6956,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","2",-70.5604,41.6956,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","2",-70.5604,41.6956,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","2",-70.5604,41.6956,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","2",-70.5604,41.6956,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","3",-70.5545,41.7092,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","3",-70.5545,41.7092,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","3",-70.5545,41.7092,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","3",-70.5545,41.7092,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","3",-70.5545,41.7092,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","4",-70.5478,41.7228,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","4",-70.5478,41.7228,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","4",-70.5478,41.7228,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","4",-70.5478,41.7228,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","4",-70.5478,41.7228,2,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","5",-70.5473,41.7372,3,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","5",-70.5473,41.7372,3,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","5",-70.5473,41.7372,3,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","5",-70.5473,41.7372,3,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","5",-70.5473,41.7372,3,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","6",-70.5264,41.7355,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","6",-70.5264,41.7355,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","6",-70.5264,41.7355,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","6",-70.5264,41.7355,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","6",-70.5264,41.7355,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","7",-70.509,41.7291,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","7",-70.509,41.7291,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","7",-70.509,41.7291,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","7",-70.509,41.7291,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","7",-70.509,41.7291,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","8",-70.5127,41.7144,5,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","8",-70.5127,41.7144,5,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","8",-70.5127,41.7144,5,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","8",-70.5127,41.7144,5,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","8",-70.5127,41.7144,5,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","9",-70.5274,41.7041,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","9",-70.5274,41.7041,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","9",-70.5274,41.7041,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","9",-70.5274,41.7041,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","9",-70.5274,41.7041,4,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","10",-70.5408,41.6933,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","10",-70.5408,41.6933,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","10",-70.5408,41.6933,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","10",-70.5408,41.6933,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","10",-70.5408,41.6933,6,"Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","1",-70.631,41.8103,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","2",-70.6253,41.8268,1,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","3",-70.6203,41.8404,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","4",-70.6236,41.8565,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","5",-70.6285,41.8701,1,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","6",-70.6321,41.8898,1,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","7",-70.6288,41.9092,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","8",-70.619,41.919,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","9",-70.6151,41.9321,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","10",-70.6022,41.9282,0,"Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Nashua River Floodplain: Route #1","06/03/2015","1",-71.655,42.4696,3,"Dick & Peg Knowlton","2115-2345. Calm, mostly clear, apparently a good deal of traffic noise.  This is an 11-point survey.  This is the same route run in 2014.","21:15","23:45",2015
"Nashua River Floodplain: Route #1","06/03/2015","2",-71.6709,42.474,0,"Dick & Peg Knowlton","2115-2345. Calm, mostly clear, apparently a good deal of traffic noise.  This is an 11-point survey.  This is the same route run in 2014.","21:15","23:45",2015
"Nashua River Floodplain: Route #1","06/03/2015","3",-71.6851,42.4845,0,"Dick & Peg Knowlton","2115-2345. Calm, mostly clear, apparently a good deal of traffic noise.  This is an 11-point survey.  This is the same route run in 2014.","21:15","23:45",2015
